scenario,condition,ID,content_mean,content_variance,alpha_accuracy_mean,alpha_accuracy_variance,alpha_target_mean,alpha_target_variance,alpha0,beta,gamma,epoch,action,action_prob,alpha_target,alpha_accuracy,content,alpha_target_sd,alpha_accuracy_sd,content_sd
All,Differing-content,191,0.2,0.0225,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_1,Prior,,-0.30011650725063277,0.5000667903902262,0.20033568717622574,0.14999999999919672,0.05,0.14999999999919672
All,Differing-content,191,0.2,0.0225,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_1,Debunk,0.97455,-0.30572856595535297,0.4999347239442531,0.19440976252325082,0.14445358283659457,0.050061630106810064,0.14456041103772146
All,Differing-content,191,0.2,0.0225,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_2,Prior,,-0.30515587088864005,0.49921455046265084,0.19320405376260819,0.14427350371424963,0.04964551566161945,0.1461859953657425
All,Differing-content,191,0.2,0.0225,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_2,Debunk,0.98091,-0.3100693693859124,0.499456884330019,0.18929831392727486,0.13957913442769307,0.04971383938768611,0.1417301184976021
All,Differing-content,191,0.2,0.0225,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_4,Prior,,-0.31105441474338397,0.5001209770787105,0.18676447473866856,0.13905869928730893,0.05029992790478278,0.1399972542367654
All,Differing-content,191,0.2,0.0225,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_4,Debunk,0.98118,-0.3145868968889467,0.5001272220402965,0.18383137509749944,0.1344817650569266,0.05021083104640705,0.13627064671241984
All,Differing-content,191,0.2,0.0225,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_5,Prior,,-0.3144160226859758,0.49990656053750787,0.18219234605102885,0.13401277488921573,0.05023110441758859,0.13419961322560153
All,Differing-content,191,0.2,0.0225,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_5,Debunk,0.98624,-0.31740901625222356,0.500033646979054,0.17879754380696444,0.13073903623130376,0.05022309882655252,0.13074072599657857
All,Differing-content,191,0.2,0.0225,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_3,Prior,,-0.30915804238409583,0.4998008171506679,0.1895785369808154,0.14134264063677285,0.050198250887635104,0.1428896625073735
All,Differing-content,191,0.2,0.0225,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_3,Debunk,0.98233,-0.3127177878245816,0.49985932461115684,0.1849547602604085,0.13744373008518945,0.05011038855104553,0.13801663904625622
All,Differing-content,179,0.2,0.0225,0.2,0.0225,0.8,0.0225,1.0,10.0,1.0,epoch_1,Prior,,0.3006531204618757,0.1995680455683386,0.20019869891532435,0.14999999999919672,0.14999999999919672,0.14999999999919672
All,Differing-content,179,0.2,0.0225,0.2,0.0225,0.8,0.0225,1.0,10.0,1.0,epoch_1,Debunk,0.23650999999999997,0.1689935611005319,0.27832688839447356,0.15583950783137587,0.1696744673526971,0.17204660904110944,0.1248295108291304
All,Differing-content,179,0.2,0.0225,0.2,0.0225,0.8,0.0225,1.0,10.0,1.0,epoch_2,Prior,,0.17248282886849645,0.2736495029119131,0.1555137488829756,0.175891560256351,0.17398900403921405,0.12155183286452609
All,Differing-content,179,0.2,0.0225,0.2,0.0225,0.8,0.0225,1.0,10.0,1.0,epoch_2,Debunk,0.5169,0.08369156385948197,0.3283872676451113,0.13348683468045652,0.1701249698692468,0.18054764492734862,0.10572672442351824
All,Differing-content,179,0.2,0.0225,0.2,0.0225,0.8,0.0225,1.0,10.0,1.0,epoch_4,Prior,,0.03564888785894893,0.36414182519019445,0.1210728875332469,0.16352575487617071,0.1816782338059142,0.09519667820337292
All,Differing-content,179,0.2,0.0225,0.2,0.0225,0.8,0.0225,1.0,10.0,1.0,epoch_4,Debunk,0.80377,0.001756420266287447,0.39127288700026636,0.11335748831979801,0.15352577179792956,0.18049383540691494,0.08845205137671878
All,Differing-content,179,0.2,0.0225,0.2,0.0225,0.8,0.0225,1.0,10.0,1.0,epoch_5,Prior,,0.002558939221883416,0.38584073213324943,0.11385303356538204,0.15522604727893022,0.18166097642317278,0.08894694284663186
All,Differing-content,179,0.2,0.0225,0.2,0.0225,0.8,0.0225,1.0,10.0,1.0,epoch_5,Debunk,0.85515,-0.02037345471069007,0.40878728607559617,0.10810971969564315,0.147985808777051,0.17985010037697097,0.08431614068991412
All,Differing-content,179,0.2,0.0225,0.2,0.0225,0.8,0.0225,1.0,10.0,1.0,epoch_3,Prior,,0.08871368590552696,0.32353783827646215,0.13343955067796315,0.1727085225441627,0.18152605669502786,0.10562252328135627
All,Differing-content,179,0.2,0.0225,0.2,0.0225,0.8,0.0225,1.0,10.0,1.0,epoch_3,Debunk,0.68489,0.03530079329735765,0.36318721849281393,0.12058064960403245,0.16227432667518263,0.18146527402804372,0.0956880843767989
All,Differing-content,328,0.8,0.01,0.2,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_1,Prior,,0.00011570267583437104,0.19996147394308525,0.7997295388824326,0.05,0.05,0.1
All,Differing-content,328,0.8,0.01,0.2,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_1,Debunk,0.26599,-0.017156518459049034,0.19033770139337183,0.7712956503927347,0.04867888927686654,0.048032803197307634,0.108327979997475
All,Differing-content,328,0.8,0.01,0.2,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_2,Prior,,-0.016911288827421957,0.1910741245211172,0.7721821623454753,0.04851578345509963,0.04791762123662168,0.10945962033661925
All,Differing-content,328,0.8,0.01,0.2,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_2,Debunk,0.31367,-0.03162616055017128,0.18352394028568636,0.7418900138652319,0.0474366822091829,0.046349544910379584,0.11654300693104579
All,Differing-content,328,0.8,0.01,0.2,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_4,Prior,,-0.04428968382977281,0.17832708363161334,0.7132132309972105,0.04526941785315705,0.04576420775112001,0.12194170300433863
All,Differing-content,328,0.8,0.01,0.2,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_4,Debunk,0.42231,-0.05509265114225138,0.17401020406404985,0.6856277892432593,0.04396605884479972,0.04484901755835423,0.1257053605375746
All,Differing-content,328,0.8,0.01,0.2,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_5,Prior,,-0.055714468511139086,0.1744559686358432,0.685486707658323,0.04418362882096134,0.04496303768736847,0.12603270951242432
All,Differing-content,328,0.8,0.01,0.2,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_5,Debunk,0.48201,-0.06483370430680466,0.17067025941246275,0.6582835359628861,0.04307388521218213,0.044093158187290656,0.12844461640457358
All,Differing-content,328,0.8,0.01,0.2,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_3,Prior,,-0.03163723965876421,0.1841598137795541,0.7421736653316343,0.046812455193355675,0.04643298722694661,0.1171978020958832
All,Differing-content,328,0.8,0.01,0.2,0.0025,0.5,0.0025,1.0,10.0,1.0,epoch_3,Debunk,0.37494,-0.04458182311912092,0.17796168100158435,0.7130250648002516,0.04571761781748307,0.04540663629622092,0.12196797808792002
All,Differing-content,454,0.8,0.0225,0.5,0.0625,0.5,0.0025,1.0,10.0,1.0,epoch_1,Prior,,8.705386255456997e-05,0.5002748508650254,0.8002089270363214,0.05,0.25,0.14999999999919672
All,Differing-content,454,0.8,0.0225,0.5,0.0625,0.5,0.0025,1.0,10.0,1.0,epoch_1,Debunk,0.14063,-0.015097295410515762,0.35523039573302445,0.6671310688347236,0.0492564516398525,0.24548280083870316,0.1888937094333221
All,Differing-content,454,0.8,0.0225,0.5,0.0625,0.5,0.0025,1.0,10.0,1.0,epoch_2,Prior,,-0.015135677075370706,0.3603343280635653,0.6754046124514638,0.0493648598251367,0.24053430033309425,0.1946625495718385
All,Differing-content,454,0.8,0.0225,0.5,0.0625,0.5,0.0025,1.0,10.0,1.0,epoch_2,Debunk,0.32750999999999997,-0.026190400298142468,0.3006804620136649,0.562680206083655,0.04828815517418285,0.2291004017428267,0.20209345768788933
All,Differing-content,454,0.8,0.0225,0.5,0.0625,0.5,0.0025,1.0,10.0,1.0,epoch_4,Prior,,-0.03451105182999066,0.2820923723844574,0.484561341856987,0.04760630533239617,0.21950728500251113,0.19701069000775323
All,Differing-content,454,0.8,0.0225,0.5,0.0625,0.5,0.0025,1.0,10.0,1.0,epoch_4,Debunk,0.58289,-0.041862422264904824,0.2814739461121744,0.4214938912339201,0.04658417330951917,0.21845532683298344,0.18249575015446207
All,Differing-content,454,0.8,0.0225,0.5,0.0625,0.5,0.0025,1.0,10.0,1.0,epoch_5,Prior,,-0.04298694733795366,0.2843947923084637,0.4204911861880485,0.04723878906073685,0.21819408711368335,0.1843845838019843
All,Differing-content,454,0.8,0.0225,0.5,0.0625,0.5,0.0025,1.0,10.0,1.0,epoch_5,Debunk,0.65945,-0.04907056713601665,0.2930900053125068,0.3732625241952592,0.04634867161375288,0.2195534530025586,0.16827250680239975
All,Differing-content,454,0.8,0.0225,0.5,0.0625,0.5,0.0025,1.0,10.0,1.0,epoch_3,Prior,,-0.026073815291874164,0.3040891808627715,0.5685269948547188,0.04833282276565883,0.2255710123067548,0.20514626057251392
All,Differing-content,454,0.8,0.0225,0.5,0.0625,0.5,0.0025,1.0,10.0,1.0,epoch_3,Debunk,0.47665,-0.034540572620030414,0.2841839472292854,0.4812757020616021,0.04741807244981601,0.22079409770997369,0.19647673739156296
All,Differing-content,6,0.2,0.0025,0.2,0.0025,0.5,0.0625,1.0,10.0,1.0,epoch_1,Prior,,0.0011785910039000384,0.19983387356474855,0.2000618258909272,0.25,0.05,0.05
All,Differing-content,6,0.2,0.0025,0.2,0.0025,0.5,0.0625,1.0,10.0,1.0,epoch_1,Debunk,0.65719,-0.1276731837839035,0.20256091014859898,0.19827836628690645,0.19702719476726627,0.05047133855880762,0.04950966294081473
All,Differing-content,6,0.2,0.0025,0.2,0.0025,0.5,0.0625,1.0,10.0,1.0,epoch_2,Prior,,-0.127395465892062,0.20356668775584813,0.19782636778062132,0.20131357482992518,0.051133269204081636,0.05007258575491435
All,Differing-content,6,0.2,0.0025,0.2,0.0025,0.5,0.0625,1.0,10.0,1.0,epoch_2,Debunk,0.81311,-0.18033186817222913,0.2048721975352848,0.1964545930664396,0.16902566809081881,0.051308470648097224,0.049717392639252136
All,Differing-content,6,0.2,0.0025,0.2,0.0025,0.5,0.0625,1.0,10.0,1.0,epoch_4,Prior,,-0.21247729305053475,0.2061121214705188,0.19592142949829966,0.152482827722111,0.05073381999815686,0.04962324842578476
All,Differing-content,6,0.2,0.0025,0.2,0.0025,0.5,0.0625,1.0,10.0,1.0,epoch_4,Debunk,0.91374,-0.23050669194876244,0.20719946460030975,0.195240344102588,0.13856521726053353,0.050627656387018216,0.04966342693661064
All,Differing-content,6,0.2,0.0025,0.2,0.0025,0.5,0.0625,1.0,10.0,1.0,epoch_5,Prior,,-0.22976565255618397,0.20712310629370193,0.19489767307814898,0.14022254901769235,0.051057381007925076,0.049484903649783626
All,Differing-content,6,0.2,0.0025,0.2,0.0025,0.5,0.0625,1.0,10.0,1.0,epoch_5,Debunk,0.93177,-0.2432548330253706,0.2077883705732755,0.19457214521373176,0.12979792159852951,0.05108231824758481,0.04944192848717464
All,Differing-content,6,0.2,0.0025,0.2,0.0025,0.5,0.0625,1.0,10.0,1.0,epoch_3,Prior,,-0.1838471609816898,0.20483929425150238,0.19700404411833808,0.16933983365952038,0.050815632340826325,0.04971478363652646
All,Differing-content,6,0.2,0.0025,0.2,0.0025,0.5,0.0625,1.0,10.0,1.0,epoch_3,Debunk,0.89015,-0.21186615987520224,0.20624220207742097,0.1960598810615516,0.150254898229957,0.051112232057682824,0.049374774471109203
All,Differing-content,262,0.8,0.0025,0.2,0.0625,0.2,0.0025,1.0,10.0,1.0,epoch_1,Prior,,-0.30022815751017956,0.1996935180555389,0.7999220566181287,0.05,0.24999999999999997,0.05
All,Differing-content,262,0.8,0.0025,0.2,0.0625,0.2,0.0025,1.0,10.0,1.0,epoch_1,Debunk,0.79096,-0.303679009621635,0.12563093255086155,0.7978954932657836,0.0488335052675023,0.17336057510415848,0.05041393878088371
All,Differing-content,262,0.8,0.0025,0.2,0.0625,0.2,0.0025,1.0,10.0,1.0,epoch_2,Prior,,-0.30330466699851155,0.12259998964751861,0.7974406207490972,0.04883961634550487,0.172656488493811,0.05070311974013855
All,Differing-content,262,0.8,0.0025,0.2,0.0625,0.2,0.0025,1.0,10.0,1.0,epoch_2,Debunk,0.87149,-0.3057908115173061,0.0935984608644379,0.7963159215699496,0.04792391625766868,0.13429498283328792,0.05089727785683197
All,Differing-content,262,0.8,0.0025,0.2,0.0625,0.2,0.0025,1.0,10.0,1.0,epoch_4,Prior,,-0.3078348540025198,0.07748680637228533,0.7962091432675007,0.04708122193997144,0.11717463213513524,0.05058246688414067
All,Differing-content,262,0.8,0.0025,0.2,0.0625,0.2,0.0025,1.0,10.0,1.0,epoch_4,Debunk,0.90835,-0.30975219185713404,0.06660626273520952,0.7958124267354522,0.04611625741301563,0.10024469472837139,0.05041358675492257
All,Differing-content,262,0.8,0.0025,0.2,0.0625,0.2,0.0025,1.0,10.0,1.0,epoch_5,Prior,,-0.309536485927866,0.06350695010366088,0.7967977288830306,0.04607064716732588,0.09803085875555508,0.05020866750768111
All,Differing-content,262,0.8,0.0025,0.2,0.0625,0.2,0.0025,1.0,10.0,1.0,epoch_5,Debunk,0.91552,-0.31099957307186393,0.05667918290381891,0.7963553849647271,0.04533868476046506,0.08662815068175458,0.050296104458735516
All,Differing-content,262,0.8,0.0025,0.2,0.0625,0.2,0.0025,1.0,10.0,1.0,epoch_3,Prior,,-0.30569872569000067,0.09284386881983861,0.7963954890516952,0.047901566513829846,0.13730303365966534,0.050392208639844394
All,Differing-content,262,0.8,0.0025,0.2,0.0625,0.2,0.0025,1.0,10.0,1.0,epoch_3,Debunk,0.89279,-0.3077035584443319,0.07646703126651702,0.7954681250640016,0.04719440335578677,0.11305719577274566,0.050590718183824344
All,Differing-content,272,0.8,0.0025,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_1,Prior,,-0.30076396948909884,0.5004134326623856,0.800021840193479,0.14999999999919672,0.05,0.05
All,Differing-content,272,0.8,0.0025,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_1,Debunk,0.52395,-0.37322589578864446,0.4948461130010951,0.7917696471006314,0.09579309185095618,0.049871357430603704,0.05060112999556037
All,Differing-content,272,0.8,0.0025,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_2,Prior,,-0.37285439669524867,0.49546114760870347,0.79117097054593,0.09840848292481282,0.04994118513350242,0.050434273190534853
All,Differing-content,272,0.8,0.0025,0.5,0.0025,0.2,0.0225,1.0,10.0,1.0,epoch_2,Debunk,0.669,-0.40012817707903414,0.4915582360975369,0.7849601715952323,0.0754958647833317,0.04967410824176693,0.05049651460678982
