scenario,condition,ID,content_mean,content_variance,alpha_accuracy_mean,alpha_accuracy_variance,alpha_target_mean,alpha_target_variance,alpha0,beta,gamma,epoch,action,action_prob,alpha_target_prior,alpha_accuracy_prior,content_prior,alpha_target_posterior,alpha_accuracy_posterior,content_posterior,alpha_target_prior_sd,alpha_accuracy_prior_sd,content_prior_sd,alpha_target_posterior_sd,alpha_accuracy_posterior_sd,content_posterior_sd
All,Differing-content-generalization,377,0.8,0.01,0.5,0.0625,0.8,0.0225,1.0,10.0,1.0,epoch_4,Debunk,0.9081,-0.25531778318623044,0.14798512940729538,0.43490375633640826,-0.2613483160148462,0.14482544847602993,0.41912726818463725,0.07950554414844785,0.12207869344407409,0.2384290920809557,0.07675052906719002,0.11963268731536005,0.23354324469582738
All,Differing-content-generalization,377,0.8,0.01,0.5,0.0625,0.8,0.0225,1.0,10.0,1.0,epoch_3,Debunk,0.88699,-0.24944537861621704,0.15148720888260442,0.4542592211737189,-0.25617307891770974,0.14824490009969832,0.43753967866304305,0.08263006338587793,0.12609394056752823,0.24260063156780032,0.07959429491065276,0.12292943042266703,0.23797226290833615
All,Differing-content-generalization,377,0.8,0.01,0.5,0.0625,0.8,0.0225,1.0,10.0,1.0,epoch_1,Debunk,0.8439,-0.22556739101865114,0.16201156716681422,0.5003894335217559,-0.23731887444371855,0.1565474230629849,0.47644961283258247,0.09530286605409044,0.13300162970938664,0.25,0.08954636919582912,0.12927396669022698,0.24548662622716197
All,Differing-content-generalization,377,0.8,0.01,0.5,0.0625,0.8,0.0225,1.0,10.0,1.0,epoch_5,Debunk,0.90933,-0.26080577696847346,0.14476339587173656,0.42313999397942603,-0.2659887280312801,0.1431617179462031,0.4109090483000083,0.07714367961102947,0.12067774881948255,0.23366495002370308,0.07439657417038942,0.1193112997965531,0.2293956842048935
All,Differing-content-generalization,377,0.8,0.01,0.5,0.0625,0.8,0.0225,1.0,10.0,1.0,epoch_2,Debunk,0.8774,-0.23802542146752165,0.156523326414622,0.47382616169370456,-0.24759541494349205,0.15306101733719166,0.45442526190629795,0.08813163010824775,0.12976993219466246,0.2468269215024791,0.08381480858148381,0.1264693762175422,0.24216589266366656
All,Differing-content-generalization,322,0.8,0.0025,0.8,0.0625,0.8,0.0025,1.0,10.0,1.0,epoch_4,Debunk,0.37467000000000006,0.061641303731198305,0.03897186366601397,0.4217349086049467,0.0405342164907994,0.042003235527015126,0.3956522640897885,0.0611418129174066,0.05024882322635759,0.24634878823229775,0.059298833955051984,0.05384037300085534,0.24243613960655946
All,Differing-content-generalization,322,0.8,0.0025,0.8,0.0625,0.8,0.0025,1.0,10.0,1.0,epoch_3,Debunk,0.31977,0.08713552870258227,0.037106093032135794,0.44845144005631227,0.06273717980293185,0.03922134864602459,0.42195362841746736,0.06261736958881871,0.04763271839797822,0.2470875657204962,0.061201759410797724,0.05053286872558478,0.244657199648962
All,Differing-content-generalization,322,0.8,0.0025,0.8,0.0625,0.8,0.0025,1.0,10.0,1.0,epoch_1,Debunk,0.20256000000000002,0.14627376398660752,0.032642786176804044,0.5000801909291694,0.11572045706166405,0.03364696019836455,0.4704778845609825,0.06369047592888648,0.042188538427197705,0.25,0.06358388940658635,0.04392171520418542,0.24974017050924607
All,Differing-content-generalization,322,0.8,0.0025,0.8,0.0625,0.8,0.0025,1.0,10.0,1.0,epoch_5,Debunk,0.43425,0.04082086869974712,0.04207147970928291,0.3925408848946172,0.022142998683192434,0.04524276266069341,0.36915067243829014,0.059121807030114805,0.05397783180078536,0.24055041515099762,0.057553019635441745,0.05746480459862965,0.23574076424574852
All,Differing-content-generalization,322,0.8,0.0025,0.8,0.0625,0.8,0.0025,1.0,10.0,1.0,epoch_2,Debunk,0.26079,0.11590149344852156,0.03392417447238977,0.47647632727206396,0.08797511071771297,0.035879162183124494,0.44868102452313563,0.0640948643291561,0.0438841109506548,0.2497859524797453,0.06288856881536564,0.04620078263399612,0.24769049320877554
